"","Drug1","Drug2","Source","Object","Precipitant"
"689","DB01197","DB00678","ONC-NonInteruptive","Captopril","Losartan"
"690","DB00489","DB00622","ONC-NonInteruptive","Sotalol","Nicardipine"
"691","DB08808","DB01115","ONC-NonInteruptive","Bupranolol","Nifedipine"
"692","DB00500","DB01297","ONC-NonInteruptive","Tolmetin","Practolol"
"693","DB00573","DB01297","ONC-NonInteruptive","Fenoprofen","Practolol"
"694","DB06605","DB00635","ONC-NonInteruptive","Apixaban","Prednisone"
"695","DB01583","DB01076","ONC-NonInteruptive","Liotrix","Atorvastatin"
"696","DB00584","DB00482","ONC-NonInteruptive","Enalapril","Celecoxib"
"697","DB00436","DB00861","ONC-NonInteruptive","Bendroflumethiazide","Diflunisal"
"698","DB00866","DB01175","ONC-NonInteruptive","Alprenolol","Escitalopram"
"699","DB00187","DB01175","ONC-NonInteruptive","Esmolol","Escitalopram"
"700","DB00187","DB00279","ONC-NonInteruptive","Esmolol","Liothyronine"
"701","DB00338","DB00186","ONC-NonInteruptive","Omeprazole","Lorazepam"
"702","DB00178","DB01399","ONC-NonInteruptive","Ramipril","Salsalate"
"703","DB00710","DB00258","ONC-NonInteruptive","Ibandronate","Calcium Acetate"
"704","DB00774","DB00461","ONC-NonInteruptive","Hydroflumethiazide","Nabumetone"
"705","DB00584","DB06803","ONC-NonInteruptive","Enalapril","Niclosamide"
"706","DB00774","DB00790","ONC-NonInteruptive","Hydroflumethiazide","Perindopril"
"707","DB00620","DB00545","ONC-NonInteruptive","Triamcinolone","Pyridostigmine"
"708","DB01590","DB00620","ONC-NonInteruptive","Everolimus","Triamcinolone"
"709","DB06605","DB00316","ONC-NonInteruptive","Apixaban","Acetaminophen"
"710","DB06228","DB01076","ONC-NonInteruptive","Rivaroxaban","Atorvastatin"
"711","DB00195","DB06724","ONC-NonInteruptive","Betaxolol","Calcium carbonate"
"712","DB00448","DB01127","ONC-NonInteruptive","Lansoprazole","Econazole"
"713","DB00722","DB00876","ONC-NonInteruptive","Lisinopril","Eprosartan"
"714","DB00717","DB00635","ONC-NonInteruptive","Norethindrone","Prednisone"
"715","DB01021","DB00178","ONC-NonInteruptive","Trichlormethiazide","Ramipril"
"716","DB01197","DB01399","ONC-NonInteruptive","Captopril","Salsalate"
"717","DB00006","DB00641","ONC-NonInteruptive","Bivalirudin","Simvastatin"
"718","DB00991","DB00489","ONC-NonInteruptive","Oxaprozin","Sotalol"
"719","DB01225","DB00163","ONC-NonInteruptive","Enoxaparin","Vitamin E"
"720","DB01359","DB01175","ONC-NonInteruptive","Penbutolol","Escitalopram"
"721","DB00443","DB01400","ONC-NonInteruptive","Betamethasone","Neostigmine"
"722","DB00373","DB00715","ONC-NonInteruptive","Timolol","Paroxetine"
"723","DB00573","DB01193","ONC-NonInteruptive","Fenoprofen","Acebutolol"
"724","DB00554","DB00866","ONC-NonInteruptive","Piroxicam","Alprenolol"
"725","DB00880","DB00945","ONC-NonInteruptive","Chlorothiazide","Acetylsalicylic acid"
"726","DB00232","DB00586","ONC-NonInteruptive","Methyclothiazide","Diclofenac"
"727","DB00788","DB00187","ONC-NonInteruptive","Naproxen","Esmolol"
"728","DB00584","DB00814","ONC-NonInteruptive","Enalapril","Meloxicam"
"729","DB00261","DB00860","ONC-NonInteruptive","Anagrelide","Prednisolone"
"730","DB00861","DB00489","ONC-NonInteruptive","Diflunisal","Sotalol"
"731","DB00881","DB00177","ONC-NonInteruptive","Quinapril","Valsartan"
"732","DB00328","DB00195","ONC-NonInteruptive","Indomethacin","Betaxolol"
"733","DB00788","DB00612","ONC-NonInteruptive","Naproxen","Bisoprolol"
"734","DB00521","DB06724","ONC-NonInteruptive","Carteolol","Calcium carbonate"
"735","DB06724","DB01234","ONC-NonInteruptive","Calcium carbonate","Dexamethasone"
"736","DB00195","DB00176","ONC-NonInteruptive","Betaxolol","Fluvoxamine"
"737","DB00482","DB01580","ONC-NonInteruptive","Celecoxib","Oxprenolol"
"738","DB01050","DB01297","ONC-NonInteruptive","Ibuprofen","Practolol"
"739","DB00304","DB00860","ONC-NonInteruptive","Desogestrel","Prednisolone"
"740","DB00482","DB08808","ONC-NonInteruptive","Celecoxib","Bupranolol"
"741","DB08808","DB01175","ONC-NonInteruptive","Bupranolol","Escitalopram"
"742","DB00006","DB00588","ONC-NonInteruptive","Bivalirudin","Fluticasone Propionate"
"743","DB01251","DB00722","ONC-NonInteruptive","Gliquidone","Lisinopril"
"744","DB06779","DB06693","ONC-NonInteruptive","Dalteparin","Mevastatin"
"745","DB04861","DB00393","ONC-NonInteruptive","Nebivolol","Nimodipine"
"746","DB01297","DB00401","ONC-NonInteruptive","Practolol","Nisoldipine"
"747","DB01234","DB01122","ONC-NonInteruptive","Dexamethasone","Ambenonium"
"748","DB00877","DB01234","ONC-NonInteruptive","Sirolimus","Dexamethasone"
"749","DB00489","DB01023","ONC-NonInteruptive","Sotalol","Felodipine"
"750","DB00790","DB00712","ONC-NonInteruptive","Perindopril","Flurbiprofen"
"751","DB00571","DB00451","ONC-NonInteruptive","Propranolol","Levothyroxine"
"752","DB00178","DB06709","ONC-NonInteruptive","Ramipril","Methacholine"
"753","DB00749","DB04861","ONC-NonInteruptive","Etodolac","Nebivolol"
"754","DB01234","DB01400","ONC-NonInteruptive","Dexamethasone","Neostigmine"
"755","DB00373","DB01115","ONC-NonInteruptive","Timolol","Nifedipine"
"756","DB00712","DB01359","ONC-NonInteruptive","Flurbiprofen","Penbutolol"
"757","DB01021","DB00492","ONC-NonInteruptive","Trichlormethiazide","Fosinopril"
"758","DB00519","DB01009","ONC-NonInteruptive","Trandolapril","Ketoprofen"
"759","DB00612","DB00401","ONC-NonInteruptive","Bisoprolol","Nisoldipine"
"760","DB00328","DB00960","ONC-NonInteruptive","Indomethacin","Pindolol"
"761","DB00605","DB00960","ONC-NonInteruptive","Sulindac","Pindolol"
"762","DB00722","DB00861","ONC-NonInteruptive","Lisinopril","Diflunisal"
"763","DB01197","DB00712","ONC-NonInteruptive","Captopril","Flurbiprofen"
"764","DB00542","DB00465","ONC-NonInteruptive","Benazepril","Ketorolac"
"765","DB00213","DB00239","ONC-NonInteruptive","Pantoprazole","Oxiconazole"
"766","DB00278","DB00213","ONC-NonInteruptive","Argatroban","Pantoprazole"
"767","DB00436","DB00881","ONC-NonInteruptive","Bendroflumethiazide","Quinapril"
"768","DB00294","DB01234","ONC-NonInteruptive","Etonogestrel","Dexamethasone"
"769","DB00612","DB00270","ONC-NonInteruptive","Bisoprolol","Isradipine"
"770","DB08807","DB01583","ONC-NonInteruptive","Bopindolol","Liotrix"
"771","DB00338","DB08933","ONC-NonInteruptive","Omeprazole","LULICONAZOLE"
"772","DB00945","DB00612","ONC-NonInteruptive","Acetylsalicylic acid","Bisoprolol"
"773","DB00866","DB00258","ONC-NonInteruptive","Alprenolol","Calcium Acetate"
"774","DB01009","DB01136","ONC-NonInteruptive","Ketoprofen","Carvedilol"
"775","DB01016","DB00584","ONC-NonInteruptive","Glyburide","Enalapril"
"776","DB00881","DB00749","ONC-NonInteruptive","Quinapril","Etodolac"
"777","DB06605","DB06693","ONC-NonInteruptive","Apixaban","Mevastatin"
"778","DB00774","DB00788","ONC-NonInteruptive","Hydroflumethiazide","Naproxen"
"779","DB00784","DB04861","ONC-NonInteruptive","Mefenamic acid","Nebivolol"
"780","DB06725","DB01359","ONC-NonInteruptive","Lornoxicam","Penbutolol"
"781","DB00881","DB00605","ONC-NonInteruptive","Quinapril","Sulindac"
"782","DB00861","DB00373","ONC-NonInteruptive","Diflunisal","Timolol"
"783","DB00500","DB01193","ONC-NonInteruptive","Tolmetin","Acebutolol"
"784","DB04861","DB00215","ONC-NonInteruptive","Nebivolol","Citalopram"
"785","DB00612","DB00451","ONC-NonInteruptive","Bisoprolol","Levothyroxine"
"786","DB00367","DB00620","ONC-NonInteruptive","Levonorgestrel","Triamcinolone"
"787","DB01399","DB00335","ONC-NonInteruptive","Salsalate","Atenolol"
"788","DB00586","DB00612","ONC-NonInteruptive","Diclofenac","Bisoprolol"
"789","DB01050","DB08808","ONC-NonInteruptive","Ibuprofen","Bupranolol"
"790","DB00606","DB01197","ONC-NonInteruptive","Cyclothiazide","Captopril"
"791","DB00338","DB01127","ONC-NonInteruptive","Omeprazole","Econazole"
"792","DB00232","DB00584","ONC-NonInteruptive","Methyclothiazide","Enalapril"
"793","DB00195","DB01023","ONC-NonInteruptive","Betaxolol","Felodipine"
"794","DB00722","DB00788","ONC-NonInteruptive","Lisinopril","Naproxen"
"795","DB01285","DB01400","ONC-NonInteruptive","Corticotropin","Neostigmine"
"796","DB00741","DB00545","ONC-NonInteruptive","Hydrocortisone","Pyridostigmine"
"797","DB00999","DB00605","ONC-NonInteruptive","Hydrochlorothiazide","Sulindac"
"798","DB00788","DB01193","ONC-NonInteruptive","Naproxen","Acebutolol"
"799","DB00939","DB08808","ONC-NonInteruptive","Meclofenamic acid","Bupranolol"
"800","DB00571","DB00258","ONC-NonInteruptive","Propranolol","Calcium Acetate"
"801","DB01297","DB00258","ONC-NonInteruptive","Practolol","Calcium Acetate"
"802","DB00521","DB00176","ONC-NonInteruptive","Carteolol","Fluvoxamine"
"803","DB00436","DB01009","ONC-NonInteruptive","Bendroflumethiazide","Ketoprofen"
"804","DB01021","DB01009","ONC-NonInteruptive","Trichlormethiazide","Ketoprofen"
"805","DB00580","DB00612","ONC-NonInteruptive","Valdecoxib","Bisoprolol"
"806","DB00492","DB01050","ONC-NonInteruptive","Fosinopril","Ibuprofen"
"807","DB01399","DB00598","ONC-NonInteruptive","Salsalate","Labetalol"
"808","DB00682","DB00227","ONC-NonInteruptive","Warfarin","Lovastatin"
"809","DB00542","DB04743","ONC-NonInteruptive","Benazepril","Nimesulide"
"810","DB00959","DB00545","ONC-NonInteruptive","Methylprednisolone","Pyridostigmine"
"811","DB00606","DB00482","ONC-NonInteruptive","Cyclothiazide","Celecoxib"
"812","DB00774","DB00586","ONC-NonInteruptive","Hydroflumethiazide","Diclofenac"
"813","DB00335","DB01023","ONC-NonInteruptive","Atenolol","Felodipine"
"814","DB00975","DB01095","ONC-NonInteruptive","Dipyridamole","Fluvastatin"
"815","DB01580","DB01115","ONC-NonInteruptive","Oxprenolol","Nifedipine"
"816","DB06695","DB00338","ONC-NonInteruptive","Dabigatran etexilate","Omeprazole"
"817","DB01399","DB00960","ONC-NonInteruptive","Salsalate","Pindolol"
"818","DB00571","DB00381","ONC-NonInteruptive","Propranolol","Amlodipine"
"819","DB01359","DB00270","ONC-NonInteruptive","Penbutolol","Isradipine"
"820","DB00606","DB00465","ONC-NonInteruptive","Cyclothiazide","Ketorolac"
"821","DB01109","DB00448","ONC-NonInteruptive","Heparin","Lansoprazole"
"822","DB00178","DB00678","ONC-NonInteruptive","Ramipril","Losartan"
"823","DB00519","DB00784","ONC-NonInteruptive","Trandolapril","Mefenamic acid"
"824","DB00945","DB01297","ONC-NonInteruptive","Acetylsalicylic acid","Practolol"
"825","DB01251","DB00519","ONC-NonInteruptive","Gliquidone","Trandolapril"
"826","DB00451","DB06724","ONC-NonInteruptive","Levothyroxine","Calcium carbonate"
"827","DB06725","DB00187","ONC-NonInteruptive","Lornoxicam","Esmolol"
"828","DB00492","DB01009","ONC-NonInteruptive","Fosinopril","Ketoprofen"
"829","DB00999","DB01009","ONC-NonInteruptive","Hydrochlorothiazide","Ketoprofen"
"830","DB01124","DB00722","ONC-NonInteruptive","Tolbutamide","Lisinopril"
"831","DB00880","DB06725","ONC-NonInteruptive","Chlorothiazide","Lornoxicam"
"832","DB00960","DB00715","ONC-NonInteruptive","Pindolol","Paroxetine"
"833","DB08808","DB00715","ONC-NonInteruptive","Bupranolol","Paroxetine"
"834","DB00278","DB00175","ONC-NonInteruptive","Argatroban","Pravastatin"
"835","DB00465","DB00489","ONC-NonInteruptive","Ketorolac","Sotalol"
"836","DB00482","DB00373","ONC-NonInteruptive","Celecoxib","Timolol"
"837","DB01234","DB01010","ONC-NonInteruptive","Dexamethasone","Edrophonium"
"838","DB01136","DB01175","ONC-NonInteruptive","Carvedilol","Escitalopram"
"839","DB01009","DB00187","ONC-NonInteruptive","Ketoprofen","Esmolol"
"840","DB00521","DB01023","ONC-NonInteruptive","Carteolol","Felodipine"
"841","DB00975","DB00588","ONC-NonInteruptive","Dipyridamole","Fluticasone Propionate"
"842","DB00213","DB01026","ONC-NonInteruptive","Pantoprazole","Ketoconazole"
"843","DB06779","DB00213","ONC-NonInteruptive","Dalteparin","Pantoprazole"
"844","DB00278","DB00641","ONC-NonInteruptive","Argatroban","Simvastatin"
"845","DB00881","DB00500","ONC-NonInteruptive","Quinapril","Tolmetin"
"846","DB00492","DB00482","ONC-NonInteruptive","Fosinopril","Celecoxib"
"847","DB00542","DB00876","ONC-NonInteruptive","Benazepril","Eprosartan"
"848","DB00373","DB01175","ONC-NonInteruptive","Timolol","Escitalopram"
"849","DB00465","DB00187","ONC-NonInteruptive","Ketorolac","Esmolol"
"850","DB01197","DB00784","ONC-NonInteruptive","Captopril","Mefenamic acid"
"851","DB00519","DB06709","ONC-NonInteruptive","Trandolapril","Methacholine"
"852","DB00975","DB01129","ONC-NonInteruptive","Dipyridamole","Rabeprazole"
"853","DB00860","DB01122","ONC-NonInteruptive","Prednisolone","Ambenonium"
"854","DB00580","DB00195","ONC-NonInteruptive","Valdecoxib","Betaxolol"
"855","DB00006","DB01234","ONC-NonInteruptive","Bivalirudin","Dexamethasone"
"856","DB00881","DB00586","ONC-NonInteruptive","Quinapril","Diclofenac"
"857","DB00519","DB00573","ONC-NonInteruptive","Trandolapril","Fenoprofen"
"858","DB00722","DB01029","ONC-NonInteruptive","Lisinopril","Irbesartan"
"859","DB00482","DB00598","ONC-NonInteruptive","Celecoxib","Labetalol"
"860","DB00606","DB06725","ONC-NonInteruptive","Cyclothiazide","Lornoxicam"
"861","DB00542","DB00678","ONC-NonInteruptive","Benazepril","Losartan"
"862","DB00672","DB00790","ONC-NonInteruptive","Chlorpropamide","Perindopril"
"863","DB00448","DB00639","ONC-NonInteruptive","Lansoprazole","Butoconazole"
"864","DB00373","DB00258","ONC-NonInteruptive","Timolol","Calcium Acetate"
"865","DB04743","DB01136","ONC-NonInteruptive","Nimesulide","Carvedilol"
"866","DB00999","DB00586","ONC-NonInteruptive","Hydrochlorothiazide","Diclofenac"
"867","DB00580","DB00187","ONC-NonInteruptive","Valdecoxib","Esmolol"
"868","DB06779","DB00448","ONC-NonInteruptive","Dalteparin","Lansoprazole"
"869","DB00784","DB00960","ONC-NonInteruptive","Mefenamic acid","Pindolol"
"870","DB00222","DB00178","ONC-NonInteruptive","Glimepiride","Ramipril"
"871","DB00213","DB01153","ONC-NonInteruptive","Pantoprazole","Sertaconazole"
"872","DB00584","DB00177","ONC-NonInteruptive","Enalapril","Valsartan"
"873","DB00788","DB04861","ONC-NonInteruptive","Naproxen","Nebivolol"
"874","DB08807","DB00401","ONC-NonInteruptive","Bopindolol","Nisoldipine"
"875","DB00178","DB00275","ONC-NonInteruptive","Ramipril","Olmesartan"
"876","DB00722","DB00275","ONC-NonInteruptive","Lisinopril","Olmesartan"
"877","DB00975","DB00338","ONC-NonInteruptive","Dipyridamole","Omeprazole"
"878","DB00232","DB00991","ONC-NonInteruptive","Methyclothiazide","Oxaprozin"
"879","DB04861","DB00381","ONC-NonInteruptive","Nebivolol","Amlodipine"
"880","DB01109","DB01076","ONC-NonInteruptive","Heparin","Atorvastatin"
"881","DB00712","DB00195","ONC-NonInteruptive","Flurbiprofen","Betaxolol"
"882","DB00612","DB00279","ONC-NonInteruptive","Bisoprolol","Liothyronine"
"883","DB01124","DB00881","ONC-NonInteruptive","Tolbutamide","Quinapril"
"884","DB00880","DB00500","ONC-NonInteruptive","Chlorothiazide","Tolmetin"
"885","DB06695","DB01076","ONC-NonInteruptive","Dabigatran etexilate","Atorvastatin"
"886","DB00367","DB00443","ONC-NonInteruptive","Levonorgestrel","Betamethasone"
"887","DB00717","DB00741","ONC-NonInteruptive","Norethindrone","Hydrocortisone"
"888","DB08807","DB00270","ONC-NonInteruptive","Bopindolol","Isradipine"
"889","DB00588","DB00981","ONC-NonInteruptive","Fluticasone Propionate","Physostigmine"
"890","DB00749","DB01193","ONC-NonInteruptive","Etodolac","Acebutolol"
"891","DB00554","DB01193","ONC-NonInteruptive","Piroxicam","Acebutolol"
"892","DB01050","DB00612","ONC-NonInteruptive","Ibuprofen","Bisoprolol"
"893","DB01136","DB06724","ONC-NonInteruptive","Carvedilol","Calcium carbonate"
"894","DB00338","DB01553","ONC-NonInteruptive","Omeprazole","Cloxazolam"
"895","DB01297","DB00279","ONC-NonInteruptive","Practolol","Liothyronine"
"896","DB00580","DB01580","ONC-NonInteruptive","Valdecoxib","Oxprenolol"
"897","DB01289","DB00542","ONC-NonInteruptive","Glisoxepide","Benazepril"
"898","DB00001","DB00443","ONC-NonInteruptive","Lepirudin","Betamethasone"
"899","DB01399","DB08808","ONC-NonInteruptive","Salsalate","Bupranolol"
"900","DB00605","DB00598","ONC-NonInteruptive","Sulindac","Labetalol"
"901","DB00774","DB00784","ONC-NonInteruptive","Hydroflumethiazide","Mefenamic acid"
"902","DB06605","DB00213","ONC-NonInteruptive","Apixaban","Pantoprazole"
"903","DB00519","DB00500","ONC-NonInteruptive","Trandolapril","Tolmetin"
"904","DB00232","DB00519","ONC-NonInteruptive","Methyclothiazide","Trandolapril"
"905","DB00612","DB00381","ONC-NonInteruptive","Bisoprolol","Amlodipine"
"906","DB01009","DB00335","ONC-NonInteruptive","Ketoprofen","Atenolol"
"907","DB01197","DB00749","ONC-NonInteruptive","Captopril","Etodolac"
"908","DB00571","DB00176","ONC-NonInteruptive","Propranolol","Fluvoxamine"
"909","DB01297","DB00270","ONC-NonInteruptive","Practolol","Isradipine"
"910","DB01203","DB01583","ONC-NonInteruptive","Nadolol","Liotrix"
"911","DB00436","DB00461","ONC-NonInteruptive","Bendroflumethiazide","Nabumetone"
"912","DB00443","DB00981","ONC-NonInteruptive","Betamethasone","Physostigmine"
"913","DB00278","DB01098","ONC-NonInteruptive","Argatroban","Rosuvastatin"
"914","DB00682","DB00641","ONC-NonInteruptive","Warfarin","Simvastatin"
"915","DB00774","DB00580","ONC-NonInteruptive","Hydroflumethiazide","Valdecoxib"
"916","DB00605","DB00195","ONC-NonInteruptive","Sulindac","Betaxolol"
"917","DB00335","DB00215","ONC-NonInteruptive","Atenolol","Citalopram"
"918","DB01009","DB01203","ONC-NonInteruptive","Ketoprofen","Nadolol"
"919","DB00999","DB00542","ONC-NonInteruptive","Hydrochlorothiazide","Benazepril"
"920","DB00178","DB00573","ONC-NonInteruptive","Ramipril","Fenoprofen"
"921","DB00304","DB00180","ONC-NonInteruptive","Desogestrel","Flunisolide"
"922","DB00335","DB00176","ONC-NonInteruptive","Atenolol","Fluvoxamine"
"923","DB00436","DB00492","ONC-NonInteruptive","Bendroflumethiazide","Fosinopril"
"924","DB04861","DB00451","ONC-NonInteruptive","Nebivolol","Levothyroxine"
"925","DB01067","DB00722","ONC-NonInteruptive","Glipizide","Lisinopril"
"926","DB00814","DB00373","ONC-NonInteruptive","Meloxicam","Timolol"
"927","DB00959","DB01122","ONC-NonInteruptive","Methylprednisolone","Ambenonium"
"928","DB00881","DB00945","ONC-NonInteruptive","Quinapril","Acetylsalicylic acid"
"929","DB06779","DB00443","ONC-NonInteruptive","Dalteparin","Betamethasone"
"930","DB00712","DB00612","ONC-NonInteruptive","Flurbiprofen","Bisoprolol"
"931","DB01050","DB01136","ONC-NonInteruptive","Ibuprofen","Carvedilol"
"932","DB00999","DB00492","ONC-NonInteruptive","Hydrochlorothiazide","Fosinopril"
"933","DB01324","DB00519","ONC-NonInteruptive","Polythiazide","Trandolapril"
"934","DB00436","DB00465","ONC-NonInteruptive","Bendroflumethiazide","Ketorolac"
"935","DB00866","DB01583","ONC-NonInteruptive","Alprenolol","Liotrix"
"936","DB00178","DB00939","ONC-NonInteruptive","Ramipril","Meclofenamic acid"
"937","DB00542","DB06803","ONC-NonInteruptive","Benazepril","Niclosamide"
"938","DB00001","DB00635","ONC-NonInteruptive","Lepirudin","Prednisone"
"939","DB00542","DB00533","ONC-NonInteruptive","Benazepril","Rofecoxib"
"940","DB00443","DB01122","ONC-NonInteruptive","Betamethasone","Ambenonium"
"941","DB00975","DB01076","ONC-NonInteruptive","Dipyridamole","Atorvastatin"
"942","DB00722","DB00586","ONC-NonInteruptive","Lisinopril","Diclofenac"
"943","DB04861","DB00472","ONC-NonInteruptive","Nebivolol","Fluoxetine"
"944","DB00178","DB01009","ONC-NonInteruptive","Ramipril","Ketoprofen"
"945","DB00682","DB00448","ONC-NonInteruptive","Warfarin","Lansoprazole"
"946","DB01225","DB00448","ONC-NonInteruptive","Enoxaparin","Lansoprazole"
"947","DB00774","DB00722","ONC-NonInteruptive","Hydroflumethiazide","Lisinopril"
"948","DB00573","DB00960","ONC-NonInteruptive","Fenoprofen","Pindolol"
"949","DB01285","DB00545","ONC-NonInteruptive","Corticotropin","Pyridostigmine"
"950","DB00338","DB00231","ONC-NonInteruptive","Omeprazole","Temazepam"
"951","DB00790","DB00500","ONC-NonInteruptive","Perindopril","Tolmetin"
"952","DB00294","DB00959","ONC-NonInteruptive","Etonogestrel","Methylprednisolone"
"953","DB01021","DB00519","ONC-NonInteruptive","Trichlormethiazide","Trandolapril"
"954","DB04743","DB00195","ONC-NonInteruptive","Nimesulide","Betaxolol"
"955","DB06228","DB01234","ONC-NonInteruptive","Rivaroxaban","Dexamethasone"
"956","DB00367","DB01234","ONC-NonInteruptive","Levonorgestrel","Dexamethasone"
"957","DB00722","DB06709","ONC-NonInteruptive","Lisinopril","Methacholine"
"958","DB00584","DB04743","ONC-NonInteruptive","Enalapril","Nimesulide"
"959","DB00991","DB00866","ONC-NonInteruptive","Oxaprozin","Alprenolol"
"960","DB06724","DB00741","ONC-NonInteruptive","Calcium carbonate","Hydrocortisone"
"961","DB00489","DB00715","ONC-NonInteruptive","Sotalol","Paroxetine"
"962","DB00880","DB00790","ONC-NonInteruptive","Chlorothiazide","Perindopril"
"963","DB00465","DB00960","ONC-NonInteruptive","Ketorolac","Pindolol"
"964","DB00533","DB01297","ONC-NonInteruptive","Rofecoxib","Practolol"
"965","DB00261","DB01129","ONC-NonInteruptive","Anagrelide","Rabeprazole"
"966","DB00635","DB01122","ONC-NonInteruptive","Prednisone","Ambenonium"
"967","DB00482","DB00335","ONC-NonInteruptive","Celecoxib","Atenolol"
"968","DB00991","DB00335","ONC-NonInteruptive","Oxaprozin","Atenolol"
"969","DB00492","DB00586","ONC-NonInteruptive","Fosinopril","Diclofenac"
"970","DB00881","DB00788","ONC-NonInteruptive","Quinapril","Naproxen"
"971","DB01009","DB04861","ONC-NonInteruptive","Ketoprofen","Nebivolol"
"972","DB00712","DB01580","ONC-NonInteruptive","Flurbiprofen","Oxprenolol"
"973","DB00580","DB01359","ONC-NonInteruptive","Valdecoxib","Penbutolol"
"974","DB00861","DB00335","ONC-NonInteruptive","Diflunisal","Atenolol"
"975","DB00232","DB00542","ONC-NonInteruptive","Methyclothiazide","Benazepril"
"976","DB00222","DB00542","ONC-NonInteruptive","Glimepiride","Benazepril"
"977","DB06725","DB00195","ONC-NonInteruptive","Lornoxicam","Betaxolol"
"978","DB00328","DB00612","ONC-NonInteruptive","Indomethacin","Bisoprolol"
"979","DB04743","DB08808","ONC-NonInteruptive","Nimesulide","Bupranolol"
"980","DB00717","DB00620","ONC-NonInteruptive","Norethindrone","Triamcinolone"
"981","DB00960","DB01023","ONC-NonInteruptive","Pindolol","Felodipine"
"982","DB01324","DB00573","ONC-NonInteruptive","Polythiazide","Fenoprofen"
"983","DB00939","DB00598","ONC-NonInteruptive","Meclofenamic acid","Labetalol"
"984","DB00598","DB00622","ONC-NonInteruptive","Labetalol","Nicardipine"
"985","DB06725","DB00571","ONC-NonInteruptive","Lornoxicam","Propranolol"
"986","DB00586","DB00373","ONC-NonInteruptive","Diclofenac","Timolol"
"987","DB00839","DB00542","ONC-NonInteruptive","Tolazamide","Benazepril"
"988","DB00187","DB00258","ONC-NonInteruptive","Esmolol","Calcium Acetate"
"989","DB06725","DB00521","ONC-NonInteruptive","Lornoxicam","Carteolol"
"990","DB00605","DB00521","ONC-NonInteruptive","Sulindac","Carteolol"
"991","DB00864","DB01234","ONC-NonInteruptive","Tacrolimus","Dexamethasone"
"992","DB00492","DB00749","ONC-NonInteruptive","Fosinopril","Etodolac"
"993","DB00436","DB00573","ONC-NonInteruptive","Bendroflumethiazide","Fenoprofen"
"994","DB00571","DB00279","ONC-NonInteruptive","Propranolol","Liothyronine"
"995","DB00606","DB00788","ONC-NonInteruptive","Cyclothiazide","Naproxen"
"996","DB01050","DB01359","ONC-NonInteruptive","Ibuprofen","Penbutolol"
"997","DB01021","DB00500","ONC-NonInteruptive","Trichlormethiazide","Tolmetin"
"998","DB00338","DB00404","ONC-NonInteruptive","Omeprazole","Alprazolam"
"999","DB01109","DB00443","ONC-NonInteruptive","Heparin","Betamethasone"
"1000","DB00939","DB00521","ONC-NonInteruptive","Meclofenamic acid","Carteolol"
"1001","DB00187","DB00215","ONC-NonInteruptive","Esmolol","Citalopram"
"1002","DB06779","DB00180","ONC-NonInteruptive","Dalteparin","Flunisolide"
"1003","DB00542","DB00328","ONC-NonInteruptive","Benazepril","Indomethacin"
"1004","DB00542","DB06725","ONC-NonInteruptive","Benazepril","Lornoxicam"
"1005","DB00461","DB00264","ONC-NonInteruptive","Nabumetone","Metoprolol"
"1006","DB00180","DB01400","ONC-NonInteruptive","Flunisolide","Neostigmine"
"1007","DB00788","DB01297","ONC-NonInteruptive","Naproxen","Practolol"
"1008","DB00605","DB08808","ONC-NonInteruptive","Sulindac","Bupranolol"
"1009","DB00606","DB00784","ONC-NonInteruptive","Cyclothiazide","Mefenamic acid"
"1010","DB00195","DB00401","ONC-NonInteruptive","Betaxolol","Nisoldipine"
"1011","DB06605","DB00338","ONC-NonInteruptive","Apixaban","Omeprazole"
"1012","DB01399","DB01297","ONC-NonInteruptive","Salsalate","Practolol"
"1013","DB00178","DB00533","ONC-NonInteruptive","Ramipril","Rofecoxib"
"1014","DB00461","DB00335","ONC-NonInteruptive","Nabumetone","Atenolol"
"1015","DB01050","DB00187","ONC-NonInteruptive","Ibuprofen","Esmolol"
"1016","DB08808","DB00176","ONC-NonInteruptive","Bupranolol","Fluvoxamine"
"1017","DB00232","DB00328","ONC-NonInteruptive","Methyclothiazide","Indomethacin"
"1018","DB01136","DB00270","ONC-NonInteruptive","Carvedilol","Isradipine"
"1019","DB01136","DB01583","ONC-NonInteruptive","Carvedilol","Liotrix"
"1020","DB06779","DB00635","ONC-NonInteruptive","Dalteparin","Prednisone"
"1021","DB00573","DB00866","ONC-NonInteruptive","Fenoprofen","Alprenolol"
"1022","DB01021","DB01050","ONC-NonInteruptive","Trichlormethiazide","Ibuprofen"
"1023","DB00774","DB00465","ONC-NonInteruptive","Hydroflumethiazide","Ketorolac"
"1024","DB00774","DB00814","ONC-NonInteruptive","Hydroflumethiazide","Meloxicam"
"1025","DB00232","DB00788","ONC-NonInteruptive","Methyclothiazide","Naproxen"
"1026","DB00814","DB00960","ONC-NonInteruptive","Meloxicam","Pindolol"
"1027","DB04743","DB01297","ONC-NonInteruptive","Nimesulide","Practolol"
"1028","DB00482","DB00489","ONC-NonInteruptive","Celecoxib","Sotalol"
"1029","DB00712","DB00866","ONC-NonInteruptive","Flurbiprofen","Alprenolol"
"1030","DB01120","DB00542","ONC-NonInteruptive","Gliclazide","Benazepril"
"1031","DB00533","DB00598","ONC-NonInteruptive","Rofecoxib","Labetalol"
"1032","DB00542","DB00814","ONC-NonInteruptive","Benazepril","Meloxicam"
